wavelength_nm,reflectance
250.0,0.4
260.0,0.4157
270.0,0.4314
280.0,0.4471
290.0,0.4629
300.0,0.4786
310.0,0.4943
320.0,0.51
330.0,0.5257
340.0,0.5414
350.0,0.5571
360.0,0.5729
370.0,0.5886
380.0,0.6043
390.0,0.62
400.0,0.6357
410.0,0.6514
420.0,0.6671
430.0,0.6829
440.0,0.6986
450.0,0.7143
460.0,0.73
470.0,0.7457
480.0,0.7614
490.0,0.7771
500.0,0.7929
510.0,0.8086
520.0,0.8243
530.0,0.84
540.0,0.8557
550.0,0.8714
560.0,0.8871
570.0,0.9029
580.0,0.9186
590.0,0.9343
600.0,0.95
610.0,0.9502
620.0,0.9503
630.0,0.9505
640.0,0.9506
650.0,0.9508
660.0,0.9509
670.0,0.9511
680.0,0.9513
690.0,0.9514
700.0,0.9516
710.0,0.9517
720.0,0.9519
730.0,0.9521
740.0,0.9522
750.0,0.9524
760.0,0.9525
770.0,0.9527
780.0,0.9528
790.0,0.953
800.0,0.9532
810.0,0.9533
820.0,0.9535
830.0,0.9536
840.0,0.9538
850.0,0.9539
860.0,0.9541
870.0,0.9543
880.0,0.9544
890.0,0.9546
900.0,0.9547
910.0,0.9549
920.0,0.9551
930.0,0.9552
940.0,0.9554
950.0,0.9555
960.0,0.9557
970.0,0.9558
980.0,0.956
990.0,0.9562
1000.0,0.9563
1010.0,0.9565
1020.0,0.9566
1030.0,0.9568
1040.0,0.9569
1050.0,0.9571
1060.0,0.9573
1070.0,0.9574
1080.0,0.9576
1090.0,0.9577
1100.0,0.9579
1110.0,0.9581
1120.0,0.9582
1130.0,0.9584
1140.0,0.9585
1150.0,0.9587
1160.0,0.9588
1170.0,0.959
1180.0,0.9592
1190.0,0.9593
1200.0,0.9595
1210.0,0.9596
1220.0,0.9598
1230.0,0.9599
1240.0,0.9601
1250.0,0.9603
1260.0,0.9604
1270.0,0.9606
1280.0,0.9607
1290.0,0.9609
1300.0,0.9611
1310.0,0.9612
1320.0,0.9614
1330.0,0.9615
1340.0,0.9617
1350.0,0.9618
1360.0,0.962
1370.0,0.9622
1380.0,0.9623
1390.0,0.9625
1400.0,0.9626
1410.0,0.9628
1420.0,0.9629
1430.0,0.9631
1440.0,0.9633
1450.0,0.9634
1460.0,0.9636
1470.0,0.9637
1480.0,0.9639
1490.0,0.9641
1500.0,0.9642
1510.0,0.9644
1520.0,0.9645
1530.0,0.9647
1540.0,0.9648
1550.0,0.965
1560.0,0.9652
1570.0,0.9653
1580.0,0.9655
1590.0,0.9656
1600.0,0.9658
1610.0,0.9659
1620.0,0.9661
1630.0,0.9663
1640.0,0.9664
1650.0,0.9666
1660.0,0.9667
1670.0,0.9669
1680.0,0.9671
1690.0,0.9672
1700.0,0.9674
1710.0,0.9675
1720.0,0.9677
1730.0,0.9678
1740.0,0.968
1750.0,0.9682
1760.0,0.9683
1770.0,0.9685
1780.0,0.9686
1790.0,0.9688
1800.0,0.9689
1810.0,0.9691
1820.0,0.9693
1830.0,0.9694
1840.0,0.9696
1850.0,0.9697
1860.0,0.9699
1870.0,0.9701
1880.0,0.9702
1890.0,0.9704
1900.0,0.9705
1910.0,0.9707
1920.0,0.9708
1930.0,0.971
1940.0,0.9712
1950.0,0.9713
1960.0,0.9715
1970.0,0.9716
1980.0,0.9718
1990.0,0.9719
2000.0,0.9721
2010.0,0.9723
2020.0,0.9724
2030.0,0.9726
2040.0,0.9727
2050.0,0.9729
2060.0,0.9731
2070.0,0.9732
2080.0,0.9734
2090.0,0.9735
2100.0,0.9737
2110.0,0.9738
2120.0,0.974
2130.0,0.9742
2140.0,0.9743
2150.0,0.9745
2160.0,0.9746
2170.0,0.9748
2180.0,0.9749
2190.0,0.9751
2200.0,0.9753
2210.0,0.9754
2220.0,0.9756
2230.0,0.9757
2240.0,0.9759
2250.0,0.9761
2260.0,0.9762
2270.0,0.9764
2280.0,0.9765
2290.0,0.9767
2300.0,0.9768
2310.0,0.977
2320.0,0.9772
2330.0,0.9773
2340.0,0.9775
2350.0,0.9776
2360.0,0.9778
2370.0,0.9779
2380.0,0.9781
2390.0,0.9783
2400.0,0.9784
2410.0,0.9786
2420.0,0.9787
2430.0,0.9789
2440.0,0.9791
2450.0,0.9792
2460.0,0.9794
2470.0,0.9795
2480.0,0.9797
2490.0,0.9798
2500.0,0.98
