wavelength_nm,reflectance
250.0,0.975
260.0,0.976
270.0,0.977
280.0,0.978
290.0,0.979
300.0,0.98
310.0,0.981
320.0,0.982
330.0,0.983
340.0,0.984
350.0,0.985
360.0,0.986
370.0,0.987
380.0,0.988
390.0,0.989
400.0,0.99
410.0,0.99
420.0,0.99
430.0,0.99
440.0,0.99
450.0,0.99
460.0,0.99
470.0,0.99
480.0,0.99
490.0,0.99
500.0,0.99
510.0,0.99
520.0,0.99
530.0,0.99
540.0,0.99
550.0,0.99
560.0,0.99
570.0,0.99
580.0,0.99
590.0,0.99
600.0,0.99
610.0,0.99
620.0,0.99
630.0,0.99
640.0,0.99
650.0,0.99
660.0,0.99
670.0,0.99
680.0,0.99
690.0,0.99
700.0,0.99
710.0,0.99
720.0,0.99
730.0,0.99
740.0,0.99
750.0,0.99
760.0,0.99
770.0,0.99
780.0,0.99
790.0,0.99
800.0,0.99
810.0,0.99
820.0,0.99
830.0,0.99
840.0,0.99
850.0,0.99
860.0,0.99
870.0,0.99
880.0,0.99
890.0,0.99
900.0,0.99
910.0,0.99
920.0,0.99
930.0,0.99
940.0,0.99
950.0,0.99
960.0,0.99
970.0,0.99
980.0,0.99
990.0,0.99
1000.0,0.99
1010.0,0.99
1020.0,0.99
1030.0,0.99
1040.0,0.99
1050.0,0.99
1060.0,0.99
1070.0,0.99
1080.0,0.99
1090.0,0.99
1100.0,0.99
1110.0,0.99
1120.0,0.99
1130.0,0.99
1140.0,0.99
1150.0,0.99
1160.0,0.99
1170.0,0.99
1180.0,0.99
1190.0,0.99
1200.0,0.99
1210.0,0.99
1220.0,0.99
1230.0,0.99
1240.0,0.99
1250.0,0.99
1260.0,0.99
1270.0,0.99
1280.0,0.99
1290.0,0.99
1300.0,0.99
1310.0,0.99
1320.0,0.99
1330.0,0.99
1340.0,0.99
1350.0,0.99
1360.0,0.985
1370.0,0.985
1380.0,0.985
1390.0,0.985
1400.0,0.985
1410.0,0.985
1420.0,0.985
1430.0,0.985
1440.0,0.985
1450.0,0.99
1460.0,0.99
1470.0,0.99
1480.0,0.99
1490.0,0.99
1500.0,0.99
1510.0,0.99
1520.0,0.99
1530.0,0.99
1540.0,0.99
1550.0,0.99
1560.0,0.99
1570.0,0.99
1580.0,0.99
1590.0,0.99
1600.0,0.99
1610.0,0.99
1620.0,0.99
1630.0,0.99
1640.0,0.99
1650.0,0.99
1660.0,0.99
1670.0,0.99
1680.0,0.99
1690.0,0.99
1700.0,0.99
1710.0,0.99
1720.0,0.99
1730.0,0.99
1740.0,0.99
1750.0,0.99
1760.0,0.99
1770.0,0.99
1780.0,0.99
1790.0,0.99
1800.0,0.99
1810.0,0.99
1820.0,0.99
1830.0,0.99
1840.0,0.99
1850.0,0.99
1860.0,0.99
1870.0,0.99
1880.0,0.986
1890.0,0.986
1900.0,0.986
1910.0,0.986
1920.0,0.986
1930.0,0.986
1940.0,0.986
1950.0,0.986
1960.0,0.986
1970.0,0.99
1980.0,0.99
1990.0,0.99
2000.0,0.99
2010.0,0.99
2020.0,0.99
2030.0,0.99
2040.0,0.99
2050.0,0.99
2060.0,0.99
2070.0,0.99
2080.0,0.99
2090.0,0.99
2100.0,0.99
2110.0,0.99
2120.0,0.99
2130.0,0.99
2140.0,0.99
2150.0,0.99
2160.0,0.99
2170.0,0.99
2180.0,0.99
2190.0,0.99
2200.0,0.99
2210.0,0.99
2220.0,0.99
2230.0,0.99
2240.0,0.99
2250.0,0.99
2260.0,0.99
2270.0,0.99
2280.0,0.99
2290.0,0.99
2300.0,0.99
2310.0,0.99
2320.0,0.99
2330.0,0.99
2340.0,0.99
2350.0,0.99
2360.0,0.99
2370.0,0.99
2380.0,0.99
2390.0,0.99
2400.0,0.99
2410.0,0.99
2420.0,0.99
2430.0,0.99
2440.0,0.99
2450.0,0.99
2460.0,0.99
2470.0,0.99
2480.0,0.99
2490.0,0.99
2500.0,0.99
